TITLE,lat,long
White Water State Park, Minnesota,44.06254461905743,-92.0445967446006
Lake Bemidji State Park, Minnesota,47.53502825379794,-94.8268575318331
Agate Lake, Minnesota,46.46046164790214,-94.36828598976167
Devils Lake, Wisconsin,43.42823994303177,-89.73128958304771
Goose Island, Wisconsin,43.735392532145276,-91.22920233317778
Deer Lake, Minnesota,47.37562629104621,-93.66277902014782
Silver Lake, Iowa,43.477456764290025,-93.42196226091012
Two Creeks Buried Forest, Wisconsin,44.32737803384843,-87.5446981100485
Cave Point, Wisconsin,44.93054107114197,-87.17397625241831
Cana Island Lighthouse, Wisconsin,45.08864960694626,-87.0495165370378
