ID,NAME,ST_ABBREV,X,Y,Work_Cou_1,Workers_in,Shape_Length,Shape_Area,_X,_Y,fromXY,toXY,labels,color,data
17031,Cook County,IL,-88,42,Dane County,407,3.37113731,0.268771307,-89,43,"[42, -88]","[43.0, -89.0]","[Cook County, Dane County]",#ffffcc,"{""from"":[42, -88],""to"":[43.0, -89.0]""labels"":[Cook County, Dane County],""color"":""#ffffcc"",""value"":407.0},"
17097,Lake County,IL,-88,42,Dane County,103,1.69182495,0.133039813,-89,43,"[42, -88]","[43.0, -89.0]","[Lake County, Dane County]",#ffffcc,"{""from"":[42, -88],""to"":[43.0, -89.0]""labels"":[Lake County, Dane County],""color"":""#ffffcc"",""value"":103.0},"
17201,Winnebago County IL,IL,-89,42,Dane County,492,1.613608243,0.146889619,-89,43,"[42, -89]","[43.0, -89.0]","[Winnebago County IL, Dane County]",#ffffcc,"{""from"":[42, -89],""to"":[43.0, -89.0]""labels"":[Winnebago County IL, Dane County],""color"":""#ffffcc"",""value"":492.0},"
55001,Adams County,WI,-90,44,Dane County,260,2.126339588,0.19969708,-89,43,"[44, -90]","[43.0, -89.0]","[Adams County, Dane County]",#ffffcc,"{""from"":[44, -90],""to"":[43.0, -89.0]""labels"":[Adams County, Dane County],""color"":""#ffffcc"",""value"":260.0},"
55021,Columbia County,WI,-89,43,Dane County,10219,2.496599966,0.229308191,-89,43,"[43, -89]","[43.0, -89.0]","[Columbia County, Dane County]",#006837,"{""from"":[43, -89],""to"":[43.0, -89.0]""labels"":[Columbia County, Dane County],""color"":""#006837"",""value"":10219.0},"
55027,Dodge County,WI,-89,43,Dane County,2340,2.090019324,0.261104641,-89,43,"[43, -89]","[43.0, -89.0]","[Dodge County, Dane County]",#78c679,"{""from"":[43, -89],""to"":[43.0, -89.0]""labels"":[Dodge County, Dane County],""color"":""#78c679"",""value"":2340.0},"
55039,Fond du Lac County,WI,-88,44,Dane County,269,2.239206674,0.221664574,-89,43,"[44, -88]","[43.0, -89.0]","[Fond du Lac County, Dane County]",#ffffcc,"{""from"":[44, -88],""to"":[43.0, -89.0]""labels"":[Fond du Lac County, Dane County],""color"":""#ffffcc"",""value"":269.0},"
55043,Grant County,WI,-91,43,Dane County,408,2.579286579,0.3376283,-89,43,"[43, -91]","[43.0, -89.0]","[Grant County, Dane County]",#ffffcc,"{""from"":[43, -91],""to"":[43.0, -89.0]""labels"":[Grant County, Dane County],""color"":""#ffffcc"",""value"":408.0},"
55045,Green County,WI,-90,43,Dane County,5452,1.64983408,0.166281046,-89,43,"[43, -90]","[43.0, -89.0]","[Green County, Dane County]",#31a354,"{""from"":[43, -90],""to"":[43.0, -89.0]""labels"":[Green County, Dane County],""color"":""#31a354"",""value"":5452.0},"
55047,Green Lake County,WI,-89,44,Dane County,111,1.497145413,0.110107908,-89,43,"[44, -89]","[43.0, -89.0]","[Green Lake County, Dane County]",#ffffcc,"{""from"":[44, -89],""to"":[43.0, -89.0]""labels"":[Green Lake County, Dane County],""color"":""#ffffcc"",""value"":111.0},"
55049,Iowa County,WI,-90,43,Dane County,3253,2.023455278,0.219599984,-89,43,"[43, -90]","[43.0, -89.0]","[Iowa County, Dane County]",#78c679,"{""from"":[43, -90],""to"":[43.0, -89.0]""labels"":[Iowa County, Dane County],""color"":""#78c679"",""value"":3253.0},"
55055,Jefferson County,WI,-89,43,Dane County,5623,1.648924232,0.166670277,-89,43,"[43, -89]","[43.0, -89.0]","[Jefferson County, Dane County]",#31a354,"{""from"":[43, -89],""to"":[43.0, -89.0]""labels"":[Jefferson County, Dane County],""color"":""#31a354"",""value"":5623.0},"
55057,Juneau County,WI,-90,44,Dane County,159,2.578674892,0.233706111,-89,43,"[44, -90]","[43.0, -89.0]","[Juneau County, Dane County]",#ffffcc,"{""from"":[44, -90],""to"":[43.0, -89.0]""labels"":[Juneau County, Dane County],""color"":""#ffffcc"",""value"":159.0},"
55065,Lafayette County,WI,-90,43,Dane County,520,1.792179577,0.180452991,-89,43,"[43, -90]","[43.0, -89.0]","[Lafayette County, Dane County]",#ffffcc,"{""from"":[43, -90],""to"":[43.0, -89.0]""labels"":[Lafayette County, Dane County],""color"":""#ffffcc"",""value"":520.0},"
55077,Marquette County,WI,-89,44,Dane County,542,1.616759487,0.134580849,-89,43,"[44, -89]","[43.0, -89.0]","[Marquette County, Dane County]",#ffffcc,"{""from"":[44, -89],""to"":[43.0, -89.0]""labels"":[Marquette County, Dane County],""color"":""#ffffcc"",""value"":542.0},"
55079,Milwaukee County,WI,-88,43,Dane County,878,1.267378449,0.069338639,-89,43,"[43, -88]","[43.0, -89.0]","[Milwaukee County, Dane County]",#c2e699,"{""from"":[43, -88],""to"":[43.0, -89.0]""labels"":[Milwaukee County, Dane County],""color"":""#c2e699"",""value"":878.0},"
